
Cluster 1 Activity:
    Hour 15: 1686
    Hour 16: 1785
    Hour 17: 1736
    Hour 18: 1758
    Hour 19: 2000
    Hour 20: 2773
    Hour 21: 2342
    Hour 22: 1505
    Hour 23: 1195
  Date: 2015-01-07
    Hour 00: 1005
    Hour 01: 1078
    Hour 02: 1224
    Hour 03: 677
    Hour 04: 551
    Hour 05: 381
    Hour 06: 253
    Hour 07: 258
    Hour 08: 403
    Hour 09: 692
    Hour 10: 1627
    Hour 11: 2273
    Hour 12: 1962
    Hour 13: 1861
    Hour 14: 2012
    Hour 15: 1583
    Hour 16: 1584
    Hour 17: 1630
    Hour 18: 1626
    Hour 19: 2122
    Hour 20: 2238
    Hour 21: 1920
    Hour 22: 1535
    Hour 23: 1207

Cluster 6 Activity:
  Date: 2015-01-03
    Hour 03: 530
    Hour 04: 412
    Hour 05: 291
    Hour 06: 223
    Hour 07: 217
    Hour 08: 321
    Hour 09: 585
    Hour 10: 893
    Hour 11: 1341
    Hour 12: 1489
    Hour 13: 1763
    Hour 14: 1585
    Hour 15: 1319
    Hour 16: 1348
    Hour 17: 1251
    Hour 18: 1201
    Hour 19: 1135
    Hour 20: 1350
    Hour 21: 1191
    Hour 22: 1144
    Hour 23: 1003
  Date: 2015-01-04
    Hour 00: 1005
    Hour 01: 901
    Hour 02: 897
    Hour 03: 491
    Hour 04: 374
    Hour 05: 270
    Hour 06: 217
    Hour 07: 197
    Hour 08: 332
    Hour 09: 598
    Hour 10: 1042
    Hour 11: 1254
    Hour 12: 1558
    Hour 13: 2247
    Hour 14: 2919
    Hour 15: 2439
    Hour 16: 2417
    Hour 17: 2585
    Hour 18: 2679
    Hour 19: 2702
    Hour 20: 2351
    Hour 21: 2103
    Hour 22: 2048
    Hour 23: 1854
  Date: 2015-01-05
    Hour 00: 1648
    Hour 01: 1601
    Hour 02: 1682
    Hour 03: 925
    Hour 04: 664
    Hour 05: 451
    Hour 06: 402
    Hour 07: 418
    Hour 08: 625
    Hour 09: 1281
    Hour 10: 1820
    Hour 11: 2449
    Hour 12: 3097
    Hour 13: 3223
    Hour 14: 3001
    Hour 15: 2635
    Hour 16: 2678
    Hour 17: 2651
    Hour 18: 2508
    Hour 19: 2249
    Hour 20: 2585
    Hour 21: 2228
    Hour 22: 2161
    Hour 23: 2010
  Date: 2015-01-06
    Hour 00: 1680
    Hour 01: 1639
    Hour 02: 1680
    Hour 03: 987
    Hour 04: 748
    Hour 05: 557
    Hour 06: 428
    Hour 07: 385
    Hour 08: 628
    Hour 09: 1251
    Hour 10: 2374
    Hour 11: 2584
    Hour 12: 2960
    Hour 13: 3028
    Hour 14: 3077
    Hour 15: 2327
    Hour 16: 2399
    Hour 17: 2294
    Hour 18: 2271
    Hour 19: 2390
    Hour 20: 2190
    Hour 21: 1605
    Hour 22: 1759
    Hour 23: 1488
  Date: 2015-01-07
    Hour 00: 1325
    Hour 01: 1454
    Hour 02: 1531
    Hour 03: 845
    Hour 04: 645
    Hour 05: 445
    Hour 06: 367
    Hour 07: 398
    Hour 08: 543
    Hour 09: 976
    Hour 10: 2027
    Hour 11: 2131
    Hour 12: 2565
    Hour 13: 2942
    Hour 14: 3093
    Hour 15: 2620
    Hour 16: 2182
    Hour 17: 2186
    Hour 18: 2245
    Hour 19: 2073
    Hour 20: 2128
    Hour 21: 1639
    Hour 22: 1816
    Hour 23: 1645

Cluster 7 Activity:
  Date: 2015-01-03
    Hour 03: 146
    Hour 04: 100
    Hour 05: 92
    Hour 06: 63
    Hour 07: 63
    Hour 08: 129
    Hour 09: 258
    Hour 10: 507
    Hour 11: 719
    Hour 12: 743
    Hour 13: 807
    Hour 14: 738
    Hour 15: 941
    Hour 16: 1010
    Hour 17: 1036
    Hour 18: 762
    Hour 19: 731
    Hour 20: 668
    Hour 21: 621
    Hour 22: 470
    Hour 23: 440
  Date: 2015-01-04
    Hour 00: 445
    Hour 01: 404
    Hour 02: 318
    Hour 03: 175
    Hour 04: 108
    Hour 05: 73
    Hour 06: 62
    Hour 07: 64
    Hour 08: 128
    Hour 09: 333
    Hour 10: 729
    Hour 11: 889
    Hour 12: 796
    Hour 13: 1059
    Hour 14: 1343
    Hour 15: 1303
    Hour 16: 1497
    Hour 17: 1380
    Hour 18: 1218
    Hour 19: 1339
    Hour 20: 1251
    Hour 21: 1127
    Hour 22: 1040
    Hour 23: 799
  Date: 2015-01-05
    Hour 00: 800
    Hour 01: 773
    Hour 02: 602
    Hour 03: 338
    Hour 04: 234
    Hour 05: 161
    Hour 06: 114
    Hour 07: 129
    Hour 08: 248
    Hour 09: 588
    Hour 10: 1277
    Hour 11: 1556
    Hour 12: 1472
    Hour 13: 1396
    Hour 14: 1214
    Hour 15: 1274
    Hour 16: 1374
    Hour 17: 1388
    Hour 18: 1253
    Hour 19: 1282
    Hour 20: 1311
    Hour 21: 1227
    Hour 22: 1097
    Hour 23: 913
  Date: 2015-01-06
    Hour 00: 846
    Hour 01: 784
    Hour 02: 645
    Hour 03: 296
    Hour 04: 227
    Hour 05: 170
    Hour 06: 124
    Hour 07: 138
    Hour 08: 281
    Hour 09: 583
    Hour 10: 1400
    Hour 11: 1477
    Hour 12: 1499
    Hour 13: 1169
    Hour 14: 1135
    Hour 15: 1131
    Hour 16: 1212
    Hour 17: 1201
    Hour 18: 1158
    Hour 19: 1094
    Hour 20: 1065
    Hour 21: 924
    Hour 22: 835
    Hour 23: 728
  Date: 2015-01-07
    Hour 00: 685
    Hour 01: 616
    Hour 02: 520
    Hour 03: 275
    Hour 04: 162
    Hour 05: 134
    Hour 06: 95
    Hour 07: 107
    Hour 08: 251
    Hour 09: 562
    Hour 10: 1140
    Hour 11: 1203
    Hour 12: 1048
    Hour 13: 1100
    Hour 14: 1091
    Hour 15: 1132
    Hour 16: 1280
    Hour 17: 1194
    Hour 18: 1062
    Hour 19: 1129
    Hour 20: 1085
    Hour 21: 1031
    Hour 22: 850
    Hour 23: 775

Cluster 8 Activity:
  Date: 2015-01-03
    Hour 03: 218
    Hour 04: 152
    Hour 05: 115
    Hour 06: 59
    Hour 07: 90
    Hour 08: 158
    Hour 09: 274
    Hour 10: 392
    Hour 11: 603
    Hour 12: 693
    Hour 13: 854
    Hour 14: 963
    Hour 15: 739
    Hour 16: 673
    Hour 17: 744
    Hour 18: 831
    Hour 19: 851
    Hour 20: 859
    Hour 21: 627
    Hour 22: 480
    Hour 23: 452
  Date: 2015-01-04
    Hour 00: 432
    Hour 01: 353
    Hour 02: 336
    Hour 03: 201
    Hour 04: 119
    Hour 05: 102
    Hour 06: 66
    Hour 07: 85
    Hour 08: 192
    Hour 09: 336
    Hour 10: 547
    Hour 11: 694
    Hour 12: 769
    Hour 13: 1175
    Hour 14: 1217
    Hour 15: 1086
    Hour 16: 1101
    Hour 17: 1231
    Hour 18: 1485
    Hour 19: 1405
    Hour 20: 1613
    Hour 21: 1374
    Hour 22: 912
    Hour 23: 792
  Date: 2015-01-05
    Hour 00: 664
    Hour 01: 737
    Hour 02: 707
    Hour 03: 374
    Hour 04: 316
    Hour 05: 194
    Hour 06: 141
    Hour 07: 180
    Hour 08: 333
    Hour 09: 480
    Hour 10: 702
    Hour 11: 1002
    Hour 12: 1115
    Hour 13: 1295
    Hour 14: 1244
    Hour 15: 1110
    Hour 16: 1076
    Hour 17: 1192
    Hour 18: 1446
    Hour 19: 1506
    Hour 20: 1554
    Hour 21: 1461
    Hour 22: 1121
    Hour 23: 829
  Date: 2015-01-06
    Hour 00: 712
    Hour 01: 708
    Hour 02: 664
    Hour 03: 399
    Hour 04: 257
    Hour 05: 228
    Hour 06: 163
    Hour 07: 193
    Hour 08: 325
    Hour 09: 552
    Hour 10: 1120
    Hour 11: 1250
    Hour 12: 1353
    Hour 13: 1496
    Hour 14: 1138
    Hour 15: 948
    Hour 16: 997
    Hour 17: 1124
    Hour 18: 1140
    Hour 19: 1233
    Hour 20: 1383
    Hour 21: 1121
    Hour 22: 825
    Hour 23: 668
  Date: 2015-01-07
    Hour 00: 598
    Hour 01: 587
    Hour 02: 689
    Hour 03: 414
    Hour 04: 306
    Hour 05: 217
    Hour 06: 169
    Hour 07: 203
    Hour 08: 317
    Hour 09: 451
    Hour 10: 674
    Hour 11: 853
    Hour 12: 955
    Hour 13: 1032
    Hour 14: 1039
    Hour 15: 788
    Hour 16: 894
    Hour 17: 1023
    Hour 18: 1265
    Hour 19: 1365
    Hour 20: 1689
    Hour 21: 1214
    Hour 22: 891
    Hour 23: 685
