
Cluster 1:
  Date: 2015-01-03
    Hour 03: 5847
    Hour 04: 3594
    Hour 05: 2722
    Hour 06: 1850
    Hour 07: 2573
    Hour 08: 4272
    Hour 09: 9303
    Hour 10: 18496
    Hour 11: 22649
    Hour 12: 23731
    Hour 13: 22233
    Hour 14: 22484
    Hour 15: 25552
    Hour 16: 26740
    Hour 17: 25761
    Hour 18: 22697
    Hour 19: 23385
    Hour 20: 22852
    Hour 21: 19615
    Hour 22: 16357
    Hour 23: 16151
  Date: 2015-01-04
    Hour 00: 17423
    Hour 01: 14563
    Hour 02: 8878
    Hour 03: 5662
    Hour 04: 3327
    Hour 05: 2058
    Hour 06: 1657
    Hour 07: 2248
    Hour 08: 4809
    Hour 09: 12393
    Hour 10: 24157
    Hour 11: 26403
    Hour 12: 24486
    Hour 13: 35186
    Hour 14: 42810
    Hour 15: 42373
    Hour 16: 43617
    Hour 17: 46060
    Hour 18: 42573
    Hour 19: 47183
    Hour 20: 42054
    Hour 21: 43523
    Hour 22: 37345
    Hour 23: 35148
  Date: 2015-01-05
    Hour 00: 37023
    Hour 01: 31035
    Hour 02: 17510
    Hour 03: 12173
    Hour 04: 7393
    Hour 05: 4901
    Hour 06: 3695
    Hour 07: 4252
    Hour 08: 9703
    Hour 09: 21275
    Hour 10: 44631
    Hour 11: 49831
    Hour 12: 47659
    Hour 13: 44125
    Hour 14: 40491
    Hour 15: 41919
    Hour 16: 45638
    Hour 17: 44406
    Hour 18: 40795
    Hour 19: 43648
    Hour 20: 43588
    Hour 21: 42154
    Hour 22: 37541
    Hour 23: 35517
  Date: 2015-01-06
    Hour 00: 34008
    Hour 01: 27731
    Hour 02: 16535
    Hour 03: 10273
    Hour 04: 6602
    Hour 05: 4306
    Hour 06: 3300
    Hour 07: 4357
    Hour 08: 10676
    Hour 09: 23964
    Hour 10: 42691
    Hour 11: 47911
    Hour 12: 45002
    Hour 13: 37565
    Hour 14: 38069
    Hour 15: 41331
    Hour 16: 41989
    Hour 17: 44882
    Hour 18: 43291
    Hour 19: 45128
    Hour 20: 44943
    Hour 21: 44691
    Hour 22: 36933
    Hour 23: 35372
  Date: 2015-01-07
    Hour 00: 35219
    Hour 01: 27480
    Hour 02: 17614
    Hour 03: 10407
    Hour 04: 6219
    Hour 05: 4251
    Hour 06: 3238
    Hour 07: 4210
    Hour 08: 9790
    Hour 09: 23463
    Hour 10: 48173
    Hour 11: 50211
